# scancode	level	codepoint -- generated by gen.py
29	0	0060
29	1	007E
02	0	0031
02	1	0021
03	0	0032
03	1	0040
04	0	0033
04	1	0023
05	0	0034
05	1	0024
06	0	0035
06	1	0025
07	0	0036
07	1	005E
08	0	0037
08	1	0026
09	0	0038
09	1	002A
0A	0	0039
0A	1	0028
0B	0	0030
0B	1	0029
0C	0	002D
0C	1	005F
0C	2	2013
0C	3	2014
0D	0	003D
0D	1	002B
10	0	044F
10	1	042F
11	0	0448
11	1	0428
12	0	0435
12	1	0415
12	2	20AC
13	0	0440
13	1	0420
14	0	0442
14	1	0422
14	2	044C
14	3	042C
15	0	0438
15	1	0418
16	0	0443
16	1	0423
17	0	0456
17	1	0406
18	0	043E
18	1	041E
19	0	043F
19	1	041F
1A	0	005B
1A	1	007B
1B	0	005D
1B	1	007D
2B	0	005C
2B	1	007C
1E	0	0430
1E	1	0410
1F	0	0441
1F	1	0421
1F	2	0454
1F	3	0404
20	0	0434
20	1	0414
21	0	0444
21	1	0424
22	0	0433
22	1	0413
22	2	20B4
23	0	0445
23	1	0425
24	0	0439
24	1	0419
25	0	043A
25	1	041A
25	2	0491
25	3	0490
26	0	043B
26	1	041B
27	0	003B
27	1	003A
28	0	0027
28	1	0022
28	2	2019
2C	0	0437
2C	1	0417
2C	2	0449
2C	3	0429
2D	0	0447
2D	1	0427
2E	0	0446
2E	1	0426
2E	2	0457
2E	3	0407
2F	0	0432
2F	1	0412
2F	2	0436
2F	3	0416
30	0	0431
30	1	0411
30	2	044E
30	3	042E
31	0	043D
31	1	041D
32	0	043C
32	1	041C
33	0	002C
33	1	003C
33	2	00AB
34	0	002E
34	1	003E
34	2	00BB
35	0	002F
35	1	003F
56	0	005C
56	1	007C
